,Movie,Genre,Duration,Year,Imdb_rating,Metascore_rating,Votes
129,Bean,"Adventure, Comedy, Family  ",89,1997,65,52,99391
130,Anaconda,"Action, Adventure, Horror  ",89,1997,48,37,98529
131,Conspiracy Theory,"Action, Mystery, Thriller  ",135,1997,67,49,95374
132,Grosse Pointe Blank,"Action, Comedy, Crime  ",107,1997,73,76,89572
133,Cop Land,"Crime, Drama, Thriller  ",105,1997,69,64,88298
134,Flubber,"Comedy, Family, Sci-Fi  ",93,1997,53,37,85626
135,Dante's Peak,"Action, Adventure, Thriller  ",108,1997,60,43,84264
136,Wag the Dog,"Comedy, Drama  ",97,1997,71,73,80128
137,Speed 2: Cruise Control,"Action, Adventure, Crime  ",121,1997,39,23,76126
138,Titanic,"Drama, Romance  ",194,1997,78,75,1072285
139,Good Will Hunting,"Drama, Romance  ",126,1997,83,70,882633
140,Life Is Beautiful,"Comedy, Drama, Romance  ",116,1997,86,59,638656
141,L.A. Confidential,"Crime, Drama, Mystery  ",138,1997,82,90,541978
142,Men in Black,"Action, Adventure, Comedy  ",98,1997,73,71,525446
143,The Fifth Element,"Action, Adventure, Sci-Fi  ",126,1997,77,52,441890
144,The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi  ",129,1997,66,59,385802
145,The Game,"Drama, Mystery, Thriller  ",129,1997,78,61,357560
146,Face/Off,"Action, Crime, Sci-Fi  ",138,1997,72,82,355019
147,Princess Mononoke,"Animation, Action, Adventure  ",134,1997,84,76,354013
148,The Devil's Advocate,"Drama, Mystery, Thriller  ",144,1997,75,60,339992
149,Jackie Brown,"Crime, Drama, Thriller  ",154,1997,75,64,323363
150,Liar Liar,"Comedy, Fantasy  ",86,1997,69,70,287629
151,Donnie Brasco,"Biography, Crime, Drama  ",127,1997,77,76,285956
152,Gattaca,"Drama, Sci-Fi, Thriller  ",106,1997,78,64,285546
153,Con Air,"Action, Crime, Thriller  ",115,1997,69,52,280903
154,As Good as It Gets,"Comedy, Drama, Romance  ",139,1997,77,67,280653
