,Release Group,Worldwide,Domestic,%,Foreign,%.1,Year
791,Crazy in Alabama,"$2,005,840","$2,005,840",100%,-,-,1999
792,Hum Saath-Saath Hain: We Stand United,"$2,005,094","$2,005,094",100%,-,-,1999
793,"Happy, Texas","$1,955,933","$1,955,933",100%,-,-,1999
794,Goodbye Lover,"$1,940,299","$1,940,299",100%,-,-,1999
795,Tango,"$1,897,948","$1,897,948",100%,-,-,1999
796,Holy Smoke,"$1,765,545","$1,765,545",100%,-,-,1999
797,The Dreamlife of Angels,"$1,726,567","$1,726,567",100%,-,-,1999
798,Romance,"$1,585,642","$1,585,642",100%,-,-,1999
799,Asterix and Obelix vs. Caesar,"$1,541,261","$1,541,261",100%,-,-,1999
800,Mission: Impossible II,"$546,388,108","$215,409,889",39.4%,"$330,978,219",60.6%,2000
801,Gladiator,"$460,583,960","$187,705,427",40.8%,"$272,878,533",59.2%,2000
802,Cast Away,"$429,632,142","$233,632,142",54.4%,"$196,000,000",45.6%,2000
803,What Women Want,"$374,111,707","$182,811,707",48.9%,"$191,300,000",51.1%,2000
804,Dinosaur,"$349,822,765","$137,748,063",39.4%,"$212,074,702",60.6%,2000
805,How the Grinch Stole Christmas,"$345,141,403","$260,044,825",75.3%,"$85,096,578",24.7%,2000
806,Meet the Parents,"$330,444,045","$166,244,045",50.3%,"$164,200,000",49.7%,2000
807,The Perfect Storm,"$328,718,434","$182,618,434",55.6%,"$146,100,000",44.4%,2000
808,X-Men,"$296,339,528","$157,299,718",53.1%,"$139,039,810",46.9%,2000
809,What Lies Beneath,"$291,420,351","$155,464,351",53.3%,"$135,956,000",46.7%,2000
810,Scary Movie,"$278,019,771","$157,019,771",56.5%,"$121,000,000",43.5%,2000
811,Charlie's Angels,"$264,105,545","$125,305,545",47.4%,"$138,800,000",52.6%,2000
812,Erin Brockovich,"$256,271,286","$125,595,205",49%,"$130,676,081",51%,2000
813,Unbreakable,"$248,118,121","$95,011,339",38.3%,"$153,106,782",61.7%,2000
814,Gone in 60 Seconds,"$237,202,299","$101,648,571",42.9%,"$135,553,728",57.1%,2000
815,Chicken Run,"$224,834,564","$106,834,564",47.5%,"$118,000,000",52.5%,2000
816,Vertical Limit,"$215,663,859","$69,243,859",32.1%,"$146,420,000",67.9%,2000
817,The Patriot,"$215,294,342","$113,330,342",52.6%,"$101,964,000",47.4%,2000
818,"Crouching Tiger, Hidden Dragon","$213,525,736","$128,078,872",60%,"$85,446,864",40%,2000
819,Miss Congeniality,"$212,742,720","$106,807,667",50.2%,"$105,935,053",49.8%,2000
820,Traffic,"$207,515,725","$124,115,725",59.8%,"$83,400,000",40.2%,2000
821,Hollow Man,"$190,213,455","$73,209,340",38.5%,"$117,004,115",61.5%,2000
822,102 Dalmatians,"$183,611,771","$66,957,026",36.5%,"$116,654,745",63.5%,2000
823,Big Momma's House,"$173,959,438","$117,559,438",67.6%,"$56,400,000",32.4%,2000
824,The Emperor's New Groove,"$169,327,687","$89,302,687",52.7%,"$80,025,000",47.3%,2000
825,Nutty Professor II: The Klumps,"$166,339,890","$123,309,890",74.1%,"$43,030,000",25.9%,2000
826,Scream 3,"$161,834,276","$89,143,175",55.1%,"$72,691,101",44.9%,2000
827,Chocolat,"$152,699,946","$71,509,363",46.8%,"$81,190,583",53.2%,2000
828,"Me, Myself & Irene","$149,270,999","$90,570,999",60.7%,"$58,700,000",39.3%,2000
829,The Beach,"$144,056,873","$39,785,027",27.6%,"$104,271,846",72.4%,2000
830,Remember the Titans,"$136,706,683","$115,654,751",84.6%,"$21,051,932",15.4%,2000
831,Pokémon the Movie 2000,"$133,949,270","$43,758,684",32.7%,"$90,190,586",67.3%,2000
832,Space Cowboys,"$128,884,132","$90,464,773",70.2%,"$38,419,359",29.8%,2000
833,U-571,"$127,666,415","$77,122,415",60.4%,"$50,544,000",39.6%,2000
834,The Family Man,"$124,745,083","$75,793,305",60.8%,"$48,951,778",39.2%,2000
835,Road Trip,"$119,754,278","$68,540,777",57.2%,"$51,213,501",42.8%,2000
836,Coyote Ugly,"$113,916,474","$60,786,269",53.4%,"$53,130,205",46.6%,2000
837,Final Destination,"$112,880,294","$53,331,147",47.2%,"$59,549,147",52.8%,2000
838,The Exorcist 2000 Director's Cut,"$112,053,066","$39,671,011",35.4%,"$72,382,055",64.6%,2000
839,Mission to Mars,"$110,983,407","$60,883,407",54.9%,"$50,100,000",45.1%,2000
840,The Kid,"$110,317,580","$69,691,949",63.2%,"$40,625,631",36.8%,2000
841,Billy Elliot,"$109,280,263","$21,995,263",20.1%,"$87,285,000",79.9%,2000
842,Shaft,"$107,196,498","$70,334,258",65.6%,"$36,862,240",34.4%,2000
843,The Whole Nine Yards,"$106,371,651","$57,262,492",53.8%,"$49,109,159",46.2%,2000
844,The Cell,"$104,155,843","$61,334,059",58.9%,"$42,821,784",41.1%,2000
845,Rugrats in Paris,"$103,291,131","$76,507,756",74.1%,"$26,783,375",25.9%,2000
846,Shanghai Noon,"$99,274,467","$56,937,502",57.4%,"$42,336,965",42.6%,2000
847,The Tigger Movie,"$96,159,800","$45,554,533",47.4%,"$50,605,267",52.6%,2000
848,The 6th Day,"$96,085,477","$34,604,280",36%,"$61,481,197",64%,2000
849,Romeo Must Die,"$91,036,760","$55,973,336",61.5%,"$35,063,424",38.5%,2000
850,Fantasia 2000,"$90,874,570","$60,655,420",66.7%,"$30,219,150",33.3%,2000
851,Autumn in New York,"$90,726,668","$37,761,915",41.6%,"$52,964,753",58.4%,2000
852,Bring It on,"$90,449,929","$68,379,000",75.6%,"$22,070,929",24.4%,2000
853,Bedazzled,"$90,383,208","$37,886,980",41.9%,"$52,496,228",58.1%,2000
854,Snatch,"$83,557,872","$30,328,156",36.3%,"$53,229,716",63.7%,2000
855,Men of Honor,"$82,343,495","$48,818,921",59.3%,"$33,524,574",40.7%,2000
856,Finding Forrester,"$80,049,764","$51,804,714",64.7%,"$28,245,050",35.3%,2000
857,The Road to El Dorado,"$76,432,727","$50,863,742",66.5%,"$25,568,985",33.5%,2000
858,"Dude, Where's My Car?","$73,180,723","$46,729,800",63.9%,"$26,450,923",36.1%,2000
859,"O Brother, Where Art Thou?","$71,868,327","$45,512,588",63.3%,"$26,355,739",36.7%,2000
860,Rules of Engagement,"$71,732,303","$61,335,230",85.5%,"$10,397,073",14.5%,2000
861,Frequency,"$68,106,245","$45,010,278",66.1%,"$23,095,967",33.9%,2000
862,Thirteen Days,"$66,579,890","$34,592,089",52%,"$31,987,801",48%,2000
863,Proof of Life,"$62,761,005","$32,598,931",51.9%,"$30,162,074",48.1%,2000
864,Snow Day,"$62,464,731","$60,020,107",96.1%,"$2,444,624",3.9%,2000
865,28 Days,"$62,198,945","$37,170,488",59.8%,"$25,028,457",40.2%,2000
866,Taxi 2,"$60,726,164","$626,164",1%,"$60,100,000",99%,2000
867,Keeping the Faith,"$59,945,183","$37,047,880",61.8%,"$22,897,303",38.2%,2000
868,Next Friday,"$59,827,328","$57,328,603",95.8%,"$2,498,725",4.2%,2000
869,The Flintstones in Viva Rock Vegas,"$59,468,275","$35,268,275",59.3%,"$24,200,000",40.7%,2000
870,Little Nicky,"$58,292,295","$39,464,775",67.7%,"$18,827,520",32.3%,2000
871,Pay It Forward,"$55,707,411","$33,519,628",60.2%,"$22,187,783",39.8%,2000
872,Bounce,"$53,425,292","$36,805,288",68.9%,"$16,620,004",31.1%,2000
873,Pitch Black,"$53,187,659","$39,240,659",73.8%,"$13,947,000",26.2%,2000
874,Hanging Up,"$51,880,044","$36,050,230",69.5%,"$15,829,814",30.5%,2000
875,The Skulls,"$50,802,120","$35,046,120",69%,"$15,756,000",31%,2000
876,The Replacements,"$50,054,511","$44,737,059",89.4%,"$5,317,452",10.6%,2000
877,Book of Shadows: Blair Witch 2,"$47,737,094","$26,437,094",55.4%,"$21,300,000",44.6%,2000
878,Almost Famous,"$47,383,689","$32,534,850",68.7%,"$14,848,839",31.3%,2000
879,The Watcher,"$47,267,829","$28,946,615",61.2%,"$18,321,214",38.8%,2000
880,High Fidelity,"$47,126,295","$27,287,137",57.9%,"$19,839,158",42.1%,2000
881,Dracula 2000,"$47,053,625","$33,022,767",70.2%,"$14,030,858",29.8%,2000
882,The Gift,"$44,567,606","$12,008,642",26.9%,"$32,558,964",73.1%,2000
883,Where the Heart Is,"$40,863,718","$33,772,838",82.6%,"$7,090,880",17.4%,2000
884,Bless the Child,"$40,443,010","$29,381,494",72.6%,"$11,061,516",27.4%,2000
885,The Art of War,"$40,400,425","$30,208,599",74.8%,"$10,191,826",25.2%,2000
886,Dancer in the Dark,"$40,031,879","$4,184,036",10.5%,"$35,847,843",89.5%,2000
887,The Legend of Bagger Vance,"$39,459,427","$30,919,168",78.4%,"$8,540,259",21.6%,2000
888,Urban Legends: Final Cut,"$38,574,362","$21,468,807",55.7%,"$17,105,555",44.3%,2000
889,The Original Kings of Comedy,"$38,182,790","$38,182,790",100%,-,-,2000
890,Titan A.E.,"$36,754,634","$22,753,426",61.9%,"$14,001,208",38.1%,2000
891,Return to Me,"$36,609,995","$32,722,798",89.4%,"$3,887,197",10.6%,2000
892,My Dog Skip,"$35,547,761","$34,134,641",96%,"$1,413,120",4%,2000
893,The Adventures of Rocky & Bullwinkle,"$35,134,820","$26,005,820",74%,"$9,129,000",26%,2000
894,American Psycho,"$34,266,564","$15,070,285",44%,"$19,196,279",56%,2000
895,Dungeons & Dragons,"$33,978,694","$15,391,970",45.3%,"$18,586,724",54.7%,2000
896,Red Planet,"$33,463,969","$17,480,890",52.2%,"$15,983,079",47.8%,2000
897,Wonder Boys,"$33,426,588","$19,393,557",58%,"$14,033,031",42%,2000
898,Reindeer Games,"$32,168,970","$23,368,995",72.6%,"$8,799,975",27.4%,2000
899,Lost Souls,"$31,355,910","$16,815,253",53.6%,"$14,540,657",46.4%,2000
900,Small Time Crooks,"$29,934,477","$17,266,359",57.7%,"$12,668,118",42.3%,2000
901,Battlefield Earth,"$29,725,663","$21,471,685",72.2%,"$8,253,978",27.8%,2000
902,Nurse Betty,"$29,360,400","$25,170,054",85.7%,"$4,190,346",14.3%,2000
903,Boiler Room,"$28,780,255","$16,970,581",59%,"$11,809,674",41%,2000
904,The Little Vampire,"$27,965,865","$13,572,400",48.5%,"$14,393,465",51.5%,2000
905,Love & Basketball,"$27,728,118","$27,459,615",99%,"$268,503",1%,2000
906,Cirque du Soleil: Journey of Man,"$27,538,359","$15,627,434",56.7%,"$11,910,925",43.3%,2000
907,Center Stage,"$26,385,941","$17,200,925",65.2%,"$9,185,016",34.8%,2000
908,Saving Grace,"$26,330,482","$12,178,602",46.3%,"$14,151,880",53.7%,2000
909,Boys and Girls,"$25,850,615","$21,799,652",84.3%,"$4,050,963",15.7%,2000
910,Down to You,"$24,419,914","$20,069,008",82.2%,"$4,350,906",17.8%,2000
911,The Next Best Thing,"$24,362,772","$14,990,582",61.5%,"$9,372,190",38.5%,2000
912,Dr. T & the Women,"$22,844,291","$13,113,041",57.4%,"$9,731,250",42.6%,2000
913,The Contender,"$22,361,811","$17,872,723",79.9%,"$4,489,088",20.1%,2000
914,Michael Jordan to the Max,"$21,268,532","$18,650,521",87.7%,"$2,618,011",12.3%,2000
915,Best in Show,"$20,789,556","$18,715,392",90%,"$2,074,164",10%,2000
916,Thomas and the Magic Railroad,"$19,748,009","$15,933,506",80.7%,"$3,814,503",19.3%,2000
917,Get Carter,"$19,412,993","$14,967,182",77.1%,"$4,445,811",22.9%,2000
918,The Ninth Gate,"$18,661,336","$18,661,336",100%,-,-,2000
919,Loser,"$18,404,706","$15,618,626",84.9%,"$2,786,080",15.1%,2000
920,All the Pretty Horses,"$18,133,495","$15,540,353",85.7%,"$2,593,142",14.3%,2000
921,Quills,"$17,989,227","$7,065,332",39.3%,"$10,923,895",60.7%,2000
922,CyberWorld,"$16,653,900","$11,253,900",67.6%,"$5,400,000",32.4%,2000
923,Digimon: The Movie,"$16,643,191","$9,631,153",57.9%,"$7,012,038",42.1%,2000
924,The Dish,"$16,575,074","$2,552,992",15.4%,"$14,022,082",84.6%,2000
925,Italian for Beginners,"$16,349,568","$4,544,753",27.8%,"$11,804,815",72.2%,2000
926,Drowning Mona,"$15,906,764","$15,506,764",97.5%,"$400,000",2.5%,2000
927,Highlander: Endgame,"$15,843,608","$12,811,858",80.9%,"$3,031,750",19.1%,2000
928,Bait,"$15,471,969","$15,325,127",99.1%,"$146,842",0.9%,2000
929,Supernova,"$14,828,081","$14,230,455",96%,"$597,626",4%,2000
930,Malena,"$14,493,284","$3,448,233",23.8%,"$11,045,051",76.2%,2000
931,I Dreamed of Africa,"$14,400,327","$6,651,522",46.2%,"$7,748,805",53.8%,2000
932,What Planet Are You From?,"$14,145,677","$6,291,602",44.5%,"$7,854,075",55.5%,2000
933,The Ladies Man,"$13,743,212","$13,616,610",99.1%,"$126,602",0.9%,2000
934,Solarmax,"$13,400,161","$13,400,161",100%,-,-,2000
935,The Crew,"$13,105,853","$13,023,075",99.4%,"$82,778",0.6%,2000
936,The Way of the Gun,"$13,069,740","$6,055,661",46.3%,"$7,014,079",53.7%,2000
937,In the Mood for Love,"$12,854,953","$2,738,980",21.3%,"$10,115,973",78.7%,2000
938,Gossip,"$12,591,270","$5,108,820",40.6%,"$7,482,450",59.4%,2000
939,Ready to Rumble,"$12,452,362","$12,394,327",99.5%,"$58,035",0.5%,2000
940,The Legend of Drunken Master,"$11,555,430","$11,555,430",100%,-,-,2000
941,You Can Count on Me,"$11,242,521","$9,416,804",83.8%,"$1,825,717",16.2%,2000
942,Shadow of the Vampire,"$11,155,214","$8,293,784",74.3%,"$2,861,430",25.7%,2000
943,Lucky Numbers,"$10,890,222","$10,042,516",92.2%,"$847,706",7.8%,2000
944,Here on Earth,"$10,873,148","$10,522,168",96.8%,"$350,980",3.2%,2000
945,Pollock,"$10,558,970","$8,598,593",81.4%,"$1,960,377",18.6%,2000
946,Anatomy,"$10,501,958","$9,660",<0.1%,"$10,492,298",99.9%,2000
947,The Virgin Suicides,"$10,409,377","$4,906,229",47.1%,"$5,503,148",52.9%,2000
948,Woman on Top,"$10,194,274","$5,020,111",49.2%,"$5,174,163",50.8%,2000
949,Godzilla 2000: Millennium,"$10,037,390","$10,037,390",100%,-,-,2000
950,Whatever It Takes,"$9,902,115","$8,745,680",88.3%,"$1,156,435",11.7%,2000
951,3 Strikes,"$9,832,166","$9,832,166",100%,-,-,2000
952,Bread and Tulips,"$9,719,848","$5,318,679",54.7%,"$4,401,169",45.3%,2000
953,Ghost Dog: The Way of the Samurai,"$9,380,473","$3,308,029",35.3%,"$6,072,444",64.7%,2000
954,State and Main,"$9,206,279","$6,944,471",75.4%,"$2,261,808",24.6%,2000
955,Before Night Falls,"$8,527,517","$4,242,892",49.8%,"$4,284,625",50.2%,2000
956,Butterfly,"$7,733,894","$2,092,682",27.1%,"$5,641,212",72.9%,2000
957,Ants in the Pants,"$7,625,967",-,-,"$7,625,967",100%,2000
958,Requiem for a Dream,"$7,390,108","$3,635,482",49.2%,"$3,754,626",50.8%,2000
959,Where the Money Is,"$7,243,669","$5,661,798",78.2%,"$1,581,871",21.8%,2000
960,Screwed,"$7,201,701","$7,027,345",97.6%,"$174,356",2.4%,2000
961,La veuve de Saint-Pierre,"$7,193,889","$3,193,889",44.4%,"$4,000,000",55.6%,2000
962,Croupier,"$7,075,068","$6,201,143",87.6%,"$873,925",12.4%,2000
963,Duets,"$6,620,242","$4,739,023",71.6%,"$1,881,219",28.4%,2000
964,Now or Never,"$5,995,963",-,-,"$5,995,963",100%,2000
965,Black & White,"$5,541,431","$5,277,299",95.2%,"$264,132",4.8%,2000
966,The in Crowd,"$5,280,035","$5,280,035",100%,-,-,2000
967,The House of Mirth,"$5,164,404","$3,043,284",58.9%,"$2,121,120",41.1%,2000
968,Otto - Der Katastrofenfilm,"$5,058,355",-,-,"$5,058,355",100%,2000
969,Whipped,"$4,775,009","$4,159,986",87.1%,"$615,023",12.9%,2000
970,Held Up,"$4,705,631","$4,705,631",100%,-,-,2000
971,The Jungle Book 2000 Re-release,"$4,466,472",-,-,"$4,466,472",100%,2000
972,The Tao of Steve,"$4,406,030","$4,342,203",98.6%,"$63,827",1.4%,2000
973,Mohabbatein,"$4,279,351","$1,070,000",25%,"$3,209,351",75%,2000
974,East Is East,"$4,177,818","$4,177,818",100%,-,-,2000
975,Bossa Nova,"$4,069,261","$1,823,297",44.8%,"$2,245,964",55.2%,2000
976,Erkan & Stefan,"$4,026,949",-,-,"$4,026,949",100%,2000
977,Pettson & Findus - Katten och gubbens år,"$3,920,489",-,-,"$3,920,489",100%,2000
978,Up at the Villa,"$3,740,113","$2,933,161",78.4%,"$806,952",21.6%,2000
979,The Big Kahuna,"$3,728,888","$3,165,544",84.9%,"$563,344",15.1%,2000
980,Price of Glory,"$3,548,556","$3,440,228",96.9%,"$108,328",3.1%,2000
981,Gun Shy,"$3,221,280","$1,638,202",50.9%,"$1,583,078",49.1%,2000
982,Beautiful,"$3,169,930","$3,157,348",99.6%,"$12,582",0.4%,2000
983,Isn't She Great,"$3,003,296","$2,962,465",98.6%,"$40,831",1.4%,2000
984,No More School,"$2,870,533",-,-,"$2,870,533",100%,2000
985,Flickering Lights,"$2,760,019",-,-,"$2,760,019",100%,2000
986,The Color of Paradise,"$2,724,595","$1,817,216",66.7%,"$907,379",33.3%,2000
987,God's Army,"$2,637,726","$2,637,726",100%,-,-,2000
988,But I'm a Cheerleader,"$2,595,216","$2,205,627",85%,"$389,589",15%,2000
989,Bamboozled,"$2,463,650","$2,274,979",92.3%,"$188,671",7.7%,2000
990,East/West,"$2,321,029","$2,321,029",100%,-,-,2000
991,Shower,"$2,150,929","$1,157,764",53.8%,"$993,165",46.2%,2000
992,Left Luggage,"$2,111,280","$1,069,540",50.7%,"$1,041,740",49.3%,2000
993,Blood Simple 2000 Re-release,"$2,068,701","$1,701,855",82.3%,"$366,846",17.7%,2000
994,Marlene,"$2,061,924",-,-,"$2,061,924",100%,2000
995,Hamlet,"$2,046,433","$1,577,287",77.1%,"$469,146",22.9%,2000
996,The Broken Hearts Club: A Romantic Comedy,"$2,019,121","$1,746,585",86.5%,"$272,536",13.5%,2000
997,Cecil B. Demented,"$1,961,544","$1,284,646",65.5%,"$676,898",34.5%,2000
998,The Life and Times of Hank Greenberg,"$1,712,385","$1,712,385",100%,-,-,2000
999,The Girl on the Bridge,"$1,708,839","$1,708,839",100%,-,-,2000
1000,Harry Potter and the Sorcerer's Stone,"$974,755,371","$317,575,550",32.6%,"$657,179,821",67.4%,2001
1001,The Lord of the Rings: The Fellowship of the Ring,"$880,839,846","$313,364,114",35.6%,"$567,475,732",64.4%,2001
1002,"Monsters, Inc.","$528,773,250","$255,873,250",48.4%,"$272,900,000",51.6%,2001
1003,Shrek,"$484,409,218","$267,665,011",55.3%,"$216,744,207",44.7%,2001
1004,Ocean's Eleven,"$450,717,150","$183,417,150",40.7%,"$267,300,000",59.3%,2001
1005,Pearl Harbor,"$449,220,945","$198,542,554",44.2%,"$250,678,391",55.8%,2001
1006,The Mummy Returns,"$433,013,274","$202,019,785",46.7%,"$230,993,489",53.3%,2001
1007,Jurassic Park III,"$368,780,809","$181,171,875",49.1%,"$187,608,934",50.9%,2001
1008,Planet of the Apes,"$362,211,740","$180,011,740",49.7%,"$182,200,000",50.3%,2001
1009,Hannibal,"$351,692,268","$165,092,268",46.9%,"$186,600,000",53.1%,2001
1010,Rush Hour 2,"$347,325,802","$226,164,286",65.1%,"$121,161,516",34.9%,2001
1011,A Beautiful Mind,"$313,542,341","$170,742,341",54.5%,"$142,800,000",45.5%,2001
1012,American Pie 2,"$287,553,595","$145,103,595",50.5%,"$142,450,000",49.5%,2001
1013,Bridget Jones's Diary,"$281,929,795","$71,543,427",25.4%,"$210,386,368",74.6%,2001
1014,Spirited Away,"$274,925,095","$10,055,859",3.7%,"$264,869,236",96.3%,2001
1015,Lara Croft: Tomb Raider,"$274,703,340","$131,168,070",47.7%,"$143,535,270",52.3%,2001
1016,A.I. Artificial Intelligence,"$235,926,552","$78,616,689",33.3%,"$157,309,863",66.7%,2001
1017,The Others,"$209,947,037","$96,522,687",46%,"$113,424,350",54%,2001
1018,The Fast and the Furious,"$207,283,925","$144,533,925",69.7%,"$62,750,000",30.3%,2001
1019,Vanilla Sky,"$203,388,341","$100,618,344",49.5%,"$102,769,997",50.5%,2001
1020,Cats & Dogs,"$200,687,492","$93,385,515",46.5%,"$107,301,977",53.5%,2001
1021,Atlantis: The Lost Empire,"$186,053,725","$84,056,472",45.2%,"$101,997,253",54.8%,2001
1022,Moulin Rouge!,"$179,213,434","$57,386,607",32%,"$121,826,827",68%,2001
1023,Dr. Dolittle 2,"$176,104,344","$112,952,899",64.1%,"$63,151,445",35.9%,2001
1024,Amélie,"$173,921,954","$33,225,499",19.1%,"$140,696,455",80.9%,2001
1025,Black Hawk Down,"$172,989,651","$108,638,745",62.8%,"$64,350,906",37.2%,2001
1026,The Princess Diaries,"$165,335,153","$108,248,956",65.5%,"$57,086,197",34.5%,2001
1027,Spy Kids,"$147,934,180","$112,719,001",76.2%,"$35,215,179",23.8%,2001
1028,The Mexican,"$147,845,033","$66,845,033",45.2%,"$81,000,000",54.8%,2001
1029,Swordfish,"$147,080,413","$69,772,969",47.4%,"$77,307,444",52.6%,2001
1030,Spy Game,"$143,049,560","$62,362,560",43.6%,"$80,687,000",56.4%,2001
1031,Legally Blonde,"$141,774,679","$96,520,674",68.1%,"$45,254,005",31.9%,2001
1032,Scary Movie 2,"$141,220,678","$71,308,997",50.5%,"$69,911,681",49.5%,2001
1033,Shallow Hal,"$141,069,860","$70,839,203",50.2%,"$70,230,657",49.8%,2001
1034,America's Sweethearts,"$138,307,673","$93,607,673",67.7%,"$44,700,000",32.3%,2001
1035,Save the Last Dance,"$131,706,809","$91,057,006",69.1%,"$40,649,803",30.9%,2001
1036,A Knight's Tale,"$117,487,473","$56,569,702",48.1%,"$60,917,771",51.9%,2001
1037,The Score,"$114,252,154","$71,107,711",62.2%,"$43,144,443",37.8%,2001
1038,Along Came a Spider,"$105,178,561","$74,078,174",70.4%,"$31,100,387",29.6%,2001
1039,Training Day,"$104,876,233","$76,631,907",73.1%,"$28,244,326",26.9%,2001
1040,Jimmy Neutron: Boy Genius,"$102,992,536","$80,936,232",78.6%,"$22,056,304",21.4%,2001
1041,Don't Say a Word,"$100,020,092","$55,001,642",55%,"$45,018,450",45%,2001
1042,Evolution,"$98,376,292","$38,345,494",39%,"$60,030,798",61%,2001
1043,I Am Sam,"$97,818,139","$40,311,852",41.2%,"$57,506,287",58.8%,2001
1044,Enemy at the Gates,"$96,976,270","$51,401,758",53%,"$45,574,512",47%,2001
1045,The Wedding Planner,"$94,728,529","$60,400,856",63.8%,"$34,327,673",36.2%,2001
1046,Behind Enemy Lines,"$91,753,202","$58,856,790",64.1%,"$32,896,412",35.9%,2001
1047,Gosford Park,"$87,754,044","$41,308,615",47.1%,"$46,445,429",52.9%,2001
1048,Ali,"$87,713,825","$58,203,105",66.4%,"$29,510,720",33.6%,2001
1049,Rat Race,"$85,498,534","$56,618,055",66.2%,"$28,880,479",33.8%,2001
1050,Final Fantasy: The Spirits Within,"$85,131,830","$32,131,830",37.7%,"$53,000,000",62.3%,2001
1051,The Animal,"$84,772,742","$57,743,062",68.1%,"$27,029,680",31.9%,2001
1052,Blow,"$83,282,296","$52,990,775",63.6%,"$30,291,521",36.4%,2001
1053,Exit Wounds,"$79,958,599","$51,758,599",64.7%,"$28,200,000",35.3%,2001
1054,Serendipity,"$77,516,304","$50,294,317",64.9%,"$27,221,987",35.1%,2001
1055,Kate & Leopold,"$76,019,048","$47,121,859",62%,"$28,897,189",38%,2001
1056,Der Schuh des Manitu,"$75,482,094",-,-,"$75,482,094",100%,2001
1057,From Hell,"$74,558,115","$31,602,566",42.4%,"$42,955,549",57.6%,2001
1058,The One,"$72,689,126","$43,905,746",60.4%,"$28,783,380",39.6%,2001
1059,The Royal Tenenbaums,"$71,441,250","$52,364,010",73.3%,"$19,077,240",26.7%,2001
1060,Down to Earth,"$71,186,502","$64,186,502",90.2%,"$7,000,000",9.8%,2001
1061,Brotherhood of the Wolf,"$70,752,904","$11,260,096",15.9%,"$59,492,808",84.1%,2001
1062,Thir13en Ghosts,"$68,467,960","$41,867,960",61.1%,"$26,600,000",38.9%,2001
1063,Pokémon 3 the Movie: Spell of the Unown,"$68,411,275","$17,052,128",24.9%,"$51,359,147",75.1%,2001
1064,Bandits,"$67,631,903","$41,575,141",61.5%,"$26,056,762",38.5%,2001
1065,Not Another Teen Movie,"$66,468,332","$38,252,284",57.5%,"$28,216,048",42.5%,2001
1066,Sweet November,"$65,754,228","$25,288,103",38.5%,"$40,466,125",61.5%,2001
1067,K-PAX,"$65,001,485","$50,338,485",77.4%,"$14,663,000",22.6%,2001
1068,Kiss of the Dragon,"$64,437,847","$36,845,124",57.2%,"$27,592,723",42.8%,2001
1069,Captain Corelli's Mandolin,"$62,112,895","$25,543,895",41.1%,"$36,569,000",58.9%,2001
1070,Zoolander,"$60,780,981","$45,172,250",74.3%,"$15,608,731",25.7%,2001
1071,The Crimson Rivers,"$60,094,966","$594,966",1%,"$59,500,000",99%,2001
1072,Jeepers Creepers,"$59,217,789","$37,904,175",64%,"$21,313,614",36%,2001
1073,Heartbreakers,"$57,756,408","$40,336,607",69.8%,"$17,419,801",30.2%,2001
1074,15 Minutes,"$56,359,980","$24,403,552",43.3%,"$31,956,428",56.7%,2001
1075,Driven,"$54,744,738","$32,720,065",59.8%,"$22,024,673",40.2%,2001
1076,Domestic Disturbance,"$54,249,294","$45,246,095",83.4%,"$9,003,199",16.6%,2001
1077,The Closet,"$50,104,745","$6,678,894",13.3%,"$43,425,851",86.7%,2001
1078,Monster's Ball,"$44,909,486","$31,273,922",69.6%,"$13,635,564",30.4%,2001
1079,Recess: School's Out,"$44,460,850","$36,706,141",82.6%,"$7,754,709",17.4%,2001
1080,Hardball,"$44,102,389","$40,222,729",91.2%,"$3,879,660",8.8%,2001
1081,In the Bedroom,"$43,368,779","$35,930,604",82.8%,"$7,438,175",17.2%,2001
1082,See Spot Run,"$43,057,552","$33,357,476",77.5%,"$9,700,076",22.5%,2001
1083,Shaolin Soccer,"$42,776,760","$489,600",1.1%,"$42,287,160",98.9%,2001
1084,Black Knight,"$39,976,235","$33,426,971",83.6%,"$6,549,264",16.4%,2001
1085,Memento,"$39,723,096","$25,544,867",64.3%,"$14,178,229",35.7%,2001
1086,Crocodile Dundee in Los Angeles,"$39,438,674","$25,635,682",65%,"$13,802,992",35%,2001
1087,Haunted Castle,"$39,093,166","$13,651,656",34.9%,"$25,441,510",65.1%,2001
1088,Someone Like You,"$38,689,940","$27,343,067",70.7%,"$11,346,873",29.3%,2001
1089,What's the Worst That Could Happen?,"$38,464,131","$32,269,834",83.9%,"$6,194,297",16.1%,2001
1090,The Majestic,"$37,317,558","$27,807,266",74.5%,"$9,510,292",25.5%,2001
1091,Valentine,"$36,684,136","$20,384,136",55.6%,"$16,300,000",44.4%,2001
1092,Joy Ride,"$36,642,838","$21,974,919",60%,"$14,667,919",40%,2001
1093,Riding in Cars with Boys,"$35,743,308","$30,165,536",84.4%,"$5,577,772",15.6%,2001
1094,Original Sin,"$35,402,320","$16,534,221",46.7%,"$18,868,099",53.3%,2001
1095,Jay and Silent Bob Strike Back,"$33,788,161","$30,085,147",89%,"$3,703,014",11%,2001
1096,Y Tu Mamá También,"$33,616,692","$13,839,658",41.2%,"$19,777,034",58.8%,2001
1097,The Musketeer,"$32,533,802","$27,073,640",83.2%,"$5,460,162",16.8%,2001
1098,Double Take,"$31,603,059","$29,831,583",94.4%,"$1,771,476",5.6%,2001
