Rank,Release Group,Worldwide,Domestic,%,Foreign,%
119,Extinct,"$1,173,216",-,-,"$1,173,216",100%
120,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$1,139,712",-,-,"$1,139,712",100%
121,Cousins,"$1,134,658",-,-,"$1,134,658",100%
122,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
123,Crisis,"$1,121,707","$404,738",36.1%,"$716,969",63.9%
124,In the Earth,"$1,113,723","$1,113,723",100%,-,-
125,Supernova,"$1,105,088","$234,220",21.2%,"$870,868",78.8%
126,Super Me,"$1,100,000",-,-,"$1,100,000",100%
127,June Again,"$1,093,339",-,-,"$1,093,339",100%
128,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
129,El Exorcismo de Carmen Farías,"$1,082,284",-,-,"$1,082,284",100%
130,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
131,In the Mood for Love 2020 Re-release,"$1,051,048",-,-,"$1,051,048",100%
132,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
133,Crazy Wedding 3,"$1,023,947",-,-,"$1,023,947",100%
134,Long Weekend,"$1,018,532","$1,018,532",100%,-,-
135,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
136,A Stand Worthy of Men,"$999,600",-,-,"$999,600",100%
137,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$987,411",-,-,"$987,411",100%
138,Gekijouban Bang Dream! Episode of Roselia: Promise,"$962,004",-,-,"$962,004",100%
139,Zoya,"$944,885",-,-,"$944,885",100%
140,The Box,"$933,708",-,-,"$933,708",100%
141,The Vault,"$913,106",-,-,"$913,106",100%
142,Maya the Bee 3: The Golden Orb,"$864,940",-,-,"$864,940",100%
143,Scoob! 2021 Re-release,"$850,000","$850,000",100%,-,-
144,Dream Horse,"$844,279","$844,279",100%,-,-
145,Four Good Days,"$828,728","$828,728",100%,-,-
146,Dynasty Warriors,"$791,623",-,-,"$791,623",100%
147,The Truffle Hunters,"$759,563","$308,123",40.6%,"$451,440",59.4%
148,Lamb of God: The Concert Film,"$744,513","$744,513",100%,-,-
149,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
150,Long Story Short,"$676,687",-,-,"$676,687",100%
151,Trang Ti Phieu Luu Ky,"$665,224",-,-,"$665,224",100%
152,Our Friend,"$663,725","$663,725",100%,-,-
153,Ready o/r Knot,"$657,371",-,-,"$657,371",100%
154,Music,"$645,949",-,-,"$645,949",100%
155,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
156,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
157,Chungking Express 2020 Re-release,"$582,116",-,-,"$582,116",100%
158,Girls Can't Surf,"$520,916",-,-,"$520,916",100%
159,Dark Spell,"$515,596",-,-,"$515,596",100%
160,Twist,"$509,870",-,-,"$509,870",100%
161,Riders of Justice,"$492,004","$33,758",6.9%,"$458,246",93.1%
162,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
163,Top Gun 2021 Re-release,"$447,563","$433,158",96.8%,"$14,405",3.2%
164,2021 Oscar Nominated Short Films: Live Action,"$443,050","$443,050",100%,-,-
165,Willy's Wonderland,"$431,020","$418,286",97%,"$12,734",3%
166,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
167,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
168,Earwig and the Witch,"$412,232","$173,704",42.1%,"$238,528",57.9%
