Release Group,Worldwide,Domestic,%,Foreign,%,Year
Africa's Elephant Kingdom,"$13,485,455","$13,485,455",100%,-,-,1998
Black Dog,"$12,951,088","$12,951,088",100%,-,-,1998
Senseless,"$12,874,899","$12,874,899",100%,-,-,1998
Why Do Fools Fall in Love,"$12,461,773","$12,461,773",100%,-,-,1998
Barney's Great Adventure,"$12,218,638","$12,218,638",100%,-,-,1998
I'll Be Home for Christmas,"$12,214,338","$12,214,338",100%,-,-,1998
Holy Man,"$12,069,719","$12,069,719",100%,-,-,1998
Sliding Doors,"$11,841,544","$11,841,544",100%,-,-,1998
Deep Rising,"$11,203,026","$11,203,026",100%,-,-,1998
Fear and Loathing in Las Vegas,"$10,680,275","$10,680,275",100%,-,-,1998
Home Fries,"$10,493,366","$10,493,366",100%,-,-,1998
The Newton Boys,"$10,452,012","$10,452,012",100%,-,-,1998
Knock Off,"$10,319,915","$10,319,915",100%,-,-,1998
I Got the Hook Up,"$10,317,779","$10,317,779",100%,-,-,1998
Air Bud: Golden Receiver,"$10,224,116","$10,224,116",100%,-,-,1998
Dirty Work,"$10,023,282","$10,023,282",100%,-,-,1998
The Red Violin,"$10,019,109","$10,019,109",100%,-,-,1998
Very Bad Things,"$9,898,412","$9,898,412",100%,-,-,1998
Belly,"$9,639,390","$9,639,390",100%,-,-,1998
Wrongfully Accused,"$9,623,329","$9,623,329",100%,-,-,1998
The Spanish Prisoner,"$9,584,314","$9,584,314",100%,-,-,1998
Ringmaster,"$9,257,103","$9,257,103",100%,-,-,1998
Apt Pupil,"$8,863,193","$8,863,193",100%,-,-,1998
Return to Paradise,"$8,341,087","$8,341,087",100%,-,-,1998
Woo,"$8,165,984","$8,064,972",98.8%,"$101,012",1.2%,1998
Firestorm,"$8,165,212","$8,165,212",100%,-,-,1998
My Giant,"$8,072,007","$8,072,007",100%,-,-,1998
Titanic 2017 Re-release,"$7,647,942","$691,642",9%,"$6,956,300",91%,1998
Krippendorf's Tribe,"$7,571,115","$7,571,115",100%,-,-,1998
Star Kid,"$7,029,025","$7,029,025",100%,-,-,1998
BASEketball,"$7,027,290","$7,027,290",100%,-,-,1998
Caught Up,"$6,754,958","$6,754,958",100%,-,-,1998
Gone with the Wind 1998 Re-release,"$6,750,112","$6,750,112",100%,-,-,1998
Smoke Signals,"$6,745,362","$6,745,362",100%,-,-,1998
Gods and Monsters,"$6,451,628","$6,451,628",100%,-,-,1998
Affliction,"$6,330,054","$6,330,054",100%,-,-,1998
Almost Heroes,"$6,136,856","$6,136,856",100%,-,-,1998
Les Boys II,"$5,974,732","$5,974,732",100%,-,-,1998
Central Station,"$5,969,553","$5,969,553",100%,-,-,1998
The Opposite of Sex,"$5,881,367","$5,881,367",100%,-,-,1998
Palmetto,"$5,878,911","$5,878,911",100%,-,-,1998
Down in the Delta,"$5,672,903","$5,672,903",100%,-,-,1998
Phantoms,"$5,624,282","$5,624,282",100%,-,-,1998
Slums of Beverly Hills,"$5,502,773","$5,502,773",100%,-,-,1998
Ride,"$5,485,295","$5,485,295",100%,-,-,1998
Celebrity,"$5,078,660","$5,078,660",100%,-,-,1998
Hilary and Jackie,"$4,912,892","$4,912,892",100%,-,-,1998
Your Friends and Neighbors,"$4,714,658","$4,714,658",100%,-,-,1998
Little Voice,"$4,611,784","$4,611,784",100%,-,-,1998
Dangerous Beauty,"$4,553,271","$4,553,271",100%,-,-,1998
Meet the Deedles,"$4,356,216","$4,356,216",100%,-,-,1998
Kissing a Fool,"$4,106,588","$4,106,588",100%,-,-,1998
The Governess,"$3,719,509","$3,719,509",100%,-,-,1998
Major League: Back to the Minors,"$3,572,443","$3,572,443",100%,-,-,1998
Next Stop Wonderland,"$3,395,581","$3,395,581",100%,-,-,1998
Mrs Dalloway,"$3,309,421","$3,309,421",100%,-,-,1998
Pi,"$3,221,152","$3,221,152",100%,-,-,1998
The Last Days of Disco,"$3,020,601","$3,020,601",100%,-,-,1998
Happiness,"$2,982,011","$2,982,011",100%,-,-,1998
Freeriders,"$2,750,064","$2,750,064",100%,-,-,1998
The Mighty,"$2,652,246","$2,652,246",100%,-,-,1998
Love and Death on Long Island,"$2,581,012","$2,581,012",100%,-,-,1998
Buffalo '66,"$2,375,097","$2,375,097",100%,-,-,1998
Mark Twain's America in,"$2,297,096","$2,297,096",100%,-,-,1998
Dancing at Lughnasa,"$2,287,818","$2,287,818",100%,-,-,1998
Hav Plenty,"$2,284,034","$2,284,034",100%,-,-,1998
Pecker,"$2,281,761","$2,281,761",100%,-,-,1998
Touch of Evil 1998 Re-release,"$2,247,465","$2,247,465",100%,-,-,1998
The Impostors,"$2,198,044","$2,198,044",100%,-,-,1998
Chinese Box,"$2,178,160","$2,178,160",100%,-,-,1998
Tarzan and the Lost City,"$2,172,941","$2,172,941",100%,-,-,1998
Wilde,"$2,158,775","$2,158,775",100%,-,-,1998
Zero Effect,"$2,087,471","$2,087,471",100%,-,-,1998
Billy's Hollywood Screen Kiss,"$2,070,399","$2,070,399",100%,-,-,1998
Two Girls and a Guy,"$2,057,193","$2,057,193",100%,-,-,1998
The Butcher Boy,"$1,995,911","$1,995,911",100%,-,-,1998
High Art,"$1,960,216","$1,960,216",100%,-,-,1998
Oscar and Lucinda,"$1,897,404","$1,897,404",100%,-,-,1998
Hurlyburly,"$1,798,862","$1,798,862",100%,-,-,1998
Clay Pigeons,"$1,794,086","$1,794,086",100%,-,-,1998
A Soldier's Daughter Never Cries,"$1,782,005","$1,782,005",100%,-,-,1998
Suicide Kings,"$1,740,156","$1,740,156",100%,-,-,1998
Live Flesh,"$1,713,459","$1,713,459",100%,-,-,1998
The Gingerbread Man,"$1,677,131","$1,677,131",100%,-,-,1998
The Celebration,"$1,657,778","$1,656,223",99.9%,"$1,555",<0.1%,1998
In God's Hands,"$1,546,414","$1,546,414",100%,-,-,1998
Henry Fool,"$1,338,335","$1,338,335",100%,-,-,1998
Cousin Bette,"$1,295,194","$1,295,194",100%,-,-,1998
